coreid,mofid-v1,mofid-v2,quaternary ,binary,year
2006[Zn][dia]3[ASR]3,[O-]C=O.[Zn],[Zn1_Type-1].[O-1][C][=O],1,0,2006
2015[Zn][flu]3[ASR]1,COc1c(c2c(OC)c(cc(c2OC)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])c(OC)c(cc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn],[C8O16Zn3_Type-1].[C][O][C][=C][Branch2][Branch1][C][C][=C][Branch1][Ring1][O][C][C][=Branch2][Ring1][=Branch2][=C][C][=Branch1][=Branch1][=C][Ring1][Branch2][O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][Branch1][Ring1][O][C][=C][Branch2][Ring1][Branch1][C][=C][Ring2][Ring2][Ring2][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],1,0,2015
2012[Co][scu]3[ASR]1,[Co][OH2][Co].[O-]C(=O)c1cc(OCC(COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])(COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],[C4Cd1O8_Type-1].[C8Cd3O16_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring2][Ring1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=Branch1][O][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],3,1,2012
2015[Cd][pts]3[ASR]1,C[C]1N=NC(=C1c1ccc(cc1)c1ccc(cc1)C1=C(C)N=N[C]1C)C.[Cd],[Cd1_Type-1].[C][CH0][N][=N][C][=Branch2][Ring2][Ring1][=C][Ring1][Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][Branch1][C][C][N][=N][CH0][Ring1][=Branch1][C][C],0,0,2015
2024[Zn][pcu]3[ASR]1,[O-]C(=O)c1ccc2-c3c(Cc2c1)cc(cc3)C(=O)[O-].[Zn][OH]([Zn][OH]([Zn])[Zn])[Zn],[C8H2O18Zn5_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Branch1][Branch2][C][C][Ring1][Branch1][=C][Ring1][=Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch2][C][=Branch1][C][=O][O-1],2,1,2024
2020[Cd][apo]3[ASR]1,[Cd].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],[C6Cd2O12_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],1,0,2020
2011[Mn][nan]3[ASR]2,[Mn].[O-]C(=O)c1cc(O)c(c(c1)O)[O],[Mn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][Branch1][C][O][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][#Branch1][O][OH0],2,1,2011
2021[Y][acs]3[ASR]1,[O]P(=O)(c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)P(=O)([O])O)c1ccc(cc1)P(=O)(O)[O])O.[Y],[Y1_Type-1].[OH0][P][=Branch1][C][=O][Branch2][Branch1][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=Branch2][Ring1][#Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][P][=Branch1][C][=O][Branch1][C][OH0][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][P][=Branch1][C][=O][Branch1][C][O][OH0][O],2,1,2021
2020[Cd][kgd]2[ASR]5,[Cd].[O-]C(=O)c1c(cccc1C(=O)[O-])Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-],[C8Cd4O16_Type-1].[O-1][C][=Branch1][C][=O][C][=C][Branch1][N][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],2,1,2020
2020[Zr][scu]3[ASR]1,[O-]C(=O)c1ccc(cc1)c1cc(c2ccc(cc2)C(=O)[O-])c2c3c1ccc1c3c(cc2)c(cc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,[C8O24Zr6_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][Branch1][S][C][C][=C][C][=Branch1][Branch1][=C][C][=Ring1][=Branch1][C][=Branch1][C][=O][O-1][=C][C][C][Ring1][#C][=C][C][=C][C][=Ring1][=Branch1][C][Branch1][Branch1][C][=C][Ring1][#Branch2][=C][Branch2][Ring1][Ring2][C][=C][Ring1][Branch2][C][C][=C][C][=Branch1][Branch1][=C][C][=Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],2,1,2020
0000[Mn][nbo]3[ASR]1,O=C(c1ccc(cc1)c1ccncc1)[CH]C(=O)C(F)(F)F.[Mn],[Mn1_Type-1].[O][=C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1][CH1][C][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],1,0,0
2016[Zn][sdf]2[ASR]1,[O-]C(=O)c1cc(cc(n1)c1ccccn1)c1ccc(cc1)C(=O)[O-].[Zn],[Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][S][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],2,1,2016
2015[Zn][nan]3[ASR]30,[O-]C(=O)c1ccc(cn1)C(=O)[O-].[Zn],[Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=N][Ring1][=Branch1][C][=Branch1][C][=O][O-1],2,1,2015
2014[Mg][pts]3[ASR]1,[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-].[OH2][Mg][OH2],[Mg1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][Branch1][C][O][=C][Branch1][=Branch1][C][=C][Ring1][#Branch1][O][C][=Branch1][C][=O][O-1],2,1,2014
2016[Sc][nan]3[ASR]7,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Sc],[Sc1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],1,0,2016
2023[Zn][fes]2[ASR]1,[O-]C(=O)c1ccc(cc1)C=Cc1ccc2c(n1)c1nc(C=Cc3ccc(cc3)C(=O)[O-])ccc1cc2.[Zn],[C2O4Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=N][C][Branch2][Ring1][C][C][=C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][=C][C][=C][Ring1][P][C][=C][Ring2][Ring1][=Branch1],1,0,2023
2012[Ag][sra]3[ASR]1,[Ag].n1ncn(c1)C12CC3(CC(C2)(CC(C1)(C3)n1cnnc1)n1cnnc1)n1cnnc1,[Ag1_Type-1].[N][N][=C][N][Branch1][Ring2][C][=Ring1][Branch1][C][C][C][Branch2][Ring2][Branch1][C][C][Branch1][Ring2][C][Ring1][=Branch1][Branch2][Ring1][Ring2][C][C][Branch1][Ring2][C][Ring1][=Branch2][Branch1][Ring2][C][Ring1][Branch2][N][C][=N][N][=C][Ring1][Branch1][N][C][=N][N][=C][Ring1][Branch1][N][C][=N][N][=C][Ring1][Branch1],1,0,2012
2014[Co][acs]3[ASR]1,[Co].[O-]C=O,[Co1_Type-1].[O-1][C][=O],1,0,2014
2013[Tb][nan]3[ASR]5,[O-]C(=O)CNCC(=O)[O-].[Tb],[Tb16_Type-1].[O-1][C][=Branch1][C][=O][C][N][C][C][=Branch1][C][=O][O-1],3,1,2013
2012[Zn][sod]3[ASR]4,CC1=NC=C[N]1.CC1=N[CH]C=N1.[Zn],[Zn1_Type-1].[C][C][=N][C][=C][NH0][Ring1][Branch1].[C][C][=N][CH1][C][=N][Ring1][Branch1],1,0,2012
0000[Zn][dia]3[ASR]4,NC1=NN=N[N]1.[Zn],[Zn1_Type-1].[N][C][=N][N][=N][NH0][Ring1][Branch1],1,0,0
2017[Zn][rtl]3[ASR]1,[O-]C(=O)c1cc(cc(c1)n1cncc1)C(=O)[O-].[Zn][Zn],[C4O8Zn2_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][#C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][=N][C][=C][Ring1][Branch1][C][=Branch1][C][=O][O-1],1,0,2017
2017[Cd][pcu]3[ASR]3,[Cd].[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-],[C6Cd3O12_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=Branch1][Ring2][=C][Ring1][#Branch1][C][=Branch1][C][=O][O-1],2,1,2017
2019[Zn][pts]3[ASR]1,[O-]C(=O)c1cc(N2[N]C=N[CH]2)c(cc1N1[N]C=N[CH]1)C(=O)[O-].[Zn],[C2O4Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][Branch1][Branch2][N][NH0][C][=N][CH1][Ring1][Branch1][=C][Branch1][N][C][=C][Ring1][O][N][NH0][C][=N][CH1][Ring1][Branch1][C][=Branch1][C][=O][O-1],1,0,2019
2014[Zn][sra]3[ASR]2,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn],[C6O12Zn2_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],1,0,2014
2017[Cu][nan]3[ASR]1,CC(C1=NN=C([N]1)C(O)C)O.[Cu],[Cu1_Type-1].[C][C][Branch1][#C][C][=N][N][=C][Branch1][Ring2][NH0][Ring1][Branch1][C][Branch1][C][O][C][O],1,0,2017
2007[Co][nan]3[ASR]2,[Co].[O-]C(=O)c1ccnc(c1)C(=O)[O-].[O],[Co1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1].[OH0],2,1,2007
2017[Cu][nan]3[ASR]9,[Cu]O[Cu].[O-]C(=O)c1cc(OCc2ccc(cc2)C(=O)[O-])cc(c1)OCc1ccc(cc1)C(=O)[O-],[Cu2_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][Branch2][Ring1][C][O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][=C][C][=Branch1][Ring2][=C][Ring1][P][O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],1,0,2017
2010[Zn][scu]3[ASR]1,[O-]C(=O)c1cc(Cc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Zn][OH]([Zn][OH]([Zn])[Zn])[Zn],[C8H2O18Zn5_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][Branch2][Ring1][Branch2][C][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1][=C][C][=Branch1][Branch1][=C][Ring2][Ring1][Ring1][C][=Branch1][C][=O][O-1],2,1,2010
2023[Cu][nan]3[ASR]2,[Cu].n1ccc(cc1)C=Cc1ccc(cc1)C12CC3(CC(C2)(CC(C1)(C3)c1ccc(cc1)C=Cc1ccncc1)c1ccc(cc1)C=Cc1ccncc1)c1ccc(cc1)C=Cc1ccncc1,[Cu1_Type-1].[N][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][C][Branch2][Branch1][#C][C][C][Branch1][Ring2][C][Ring1][=Branch1][Branch2][Ring1][P][C][C][Branch1][Ring2][C][Ring1][=Branch2][Branch1][Ring2][C][Ring1][Branch2][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=N][C][=C][Ring1][=Branch1],1,0,2023
2005[Ag][dia]3[ASR]1,Cc1c(c2c(C)c(c3ccncc3)c(c(c2C)c2ccncc2)C)c(C)c(c(c1c1ccncc1)C)c1ccncc1.[Ag],[Ag1_Type-1].[C][C][=C][Branch2][Ring2][Ring2][C][=C][Branch1][C][C][C][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][=C][Branch1][S][C][=Branch1][Branch1][=C][Ring1][=N][C][C][=C][C][=N][C][=C][Ring1][=Branch1][C][C][Branch1][C][C][=C][Branch1][P][C][=Branch1][=N][=C][Ring2][Ring1][N][C][=C][C][=N][C][=C][Ring1][=Branch1][C][C][=C][C][=N][C][=C][Ring1][=Branch1],1,0,2005
2008[Cu][tbo]3[ASR]17,[Cu][Cu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],[C4Cu2O8_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],1,0,2008
2005[Co][dia]3[ASR]1,[Co].[O-]C=O,[La4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][Branch2][Ring1][Ring1][C][=C][C][=Branch1][=Branch2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],1,0,2005
2011[Co][dia]3[ASR]1,[Co].[O-]C(=O)c1ccc(cc1)n1ccnc1C,[C2Co1O4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][=C][N][=C][Ring1][Branch1][C],1,0,2011
2005[Zn][nan]3[ASR]1,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[OH].[Zn],[C6Ni3O14_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1].[N][=C][C][=N][C][=C][Ring1][=Branch1],1,0,2005
2015[Sc][nan]3[ASR]6,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Sc],[Sc1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],1,0,2015
2016[Mg][pcu]3[ASR]1,[Mg].[O-]C=O,[Mg1_Type-1].[O-1][C][=O],1,0,2016
2008[Nd][nan]3[ASR]1,[Nd].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],[Nd2_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],3,1,2008
2023[Er][nan]3[ASR]2,[Er].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],[Er1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],3,1,2023
2013[Ni][xmz]3[ASR]6,[Ni][OH2]([Ni])[Ni].[O-]C(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)[O-])c1ccncc1,[C6H2Ni3O13_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=Branch2][Ring1][#Branch1][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=N][C][=C][Ring1][=Branch1],1,0,2013
2020[Zn][nbo]3[ASR]1,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn][Zn],[C4O8Zn2_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],1,0,2020
2021[Co][dia]3[ASR]2,[Co].[O-]C(=O)c1ccncc1N,[C2Co1O4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=N][C][=C][Ring1][=Branch1][N],1,0,2021
2013[Mn][pcu]3[ASR]3,[Mn].[O-]C=O,[Mn1_Type-1].[O-1][C][=O],1,0,2013
2019[Co][nan]3[ASR]2,[Co].[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-],[Co3_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][Branch1][C][OH0][=C][Branch1][=Branch1][C][=C][Ring1][#Branch1][OH0][C][=Branch1][C][=O][O-1],1,0,2019
2010[Zn][lvt]3[ASR]3,[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn][Zn],[C4O8Zn2_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch1][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch1][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],1,0,2010
2011[Zn][rtl]3[ASR]2,O=C(c1ccncc1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn][Zn],[C4O8Zn2_Type-1].[O][=C][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][N][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],1,0,2011
2016[Eu][kgd]2[ASR]1,[O-]C(=O)c1cc(Oc2ccc(cc2)C2=NN=N[N]2)cc(c1)C(=O)[O-].[OH2][Eu][OH2],[Eu2_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][Branch2][Ring1][Ring1][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=N][N][=N][NH0][Ring1][Branch1][=C][C][=Branch1][Branch1][=C][Ring2][Ring1][C][C][=Branch1][C][=O][O-1],3,1,2016
2015[Cu][nan]3[ASR]21,[Cu].[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-],[Cu3_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][Branch1][C][OH0][=C][Branch1][=Branch1][C][=C][Ring1][#Branch1][OH0][C][=Branch1][C][=O][O-1],1,0,2015
2008[Cu][nan]3[ASR]3,[Cu].[O-]C(=O)CCC(=O)[O-].[OH],[Cu8_Type-2].[O-1][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][O-1].[OH1],3,1,2008
2015[La][nan]3[ASR]11,[La].[O-]C(=O)c1ccc(cc1)[C]1NC(=CC(=C1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],[La3_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][CH0][N][C][=Branch2][Ring1][#Branch1][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],3,1,2015
2013[Mn][ant]3[ASR]4,[Mn].[O-]C(=O)c1cccc(c1)c1ccncc1,[Mn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1],1,0,2013
2016[Ni][acs]3[ASR]2,[Ni].[O-]C=O,[Ni1_Type-1].[O-1][C][=O],0,0,2016
