coreid,mofid-v1,Source,2_class,4_class
2008[Ho][rtl]3[FSR]1,[O-]C(=O)C1CC(CC(C1)C(=O)[O-])C(=O)[O-].[O][Ho],FSR,1,2
2008[Co][scu]3[FSR]1,[O-]C(=O)c1cc(Cc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[OH2][Co][OH]([Co]([OH2])[OH2])[Co][OH]([Co]([OH2])[OH2])[Co][OH2],FSR,1,2
2020[Cu][sql]2[FSR]18,[Cu].[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-],FSR,0,1
2013[Zn][rtl]3[FSR]3,[O-]C(=O)c1ccc2c3c1c(ccc3C(=O)N(C2=O)c1ccncc1)C(=O)[O-].[Zn][Zn],FSR,0,1
2012[Co][dia]3[FSR]5,OC(=O)c1c(cc(nc1c1ccncc1)c1ccncc1)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Co],FSR,1,2
2011[Er][eea]3[FSR]1,[O-]C(=O)c1ccc(cc1)COc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[O][O]1[O]2[Er]1O2,FSR,1,2
2005[Gd][dia]3[FSR]1,[O-]C(=O)C(=O)[O-].[O][Gd],FSR,1,2
2016[Tb][nan]3[FSR]8,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH2][Tb],FSR,0,1
2020[U][hcb]2[FSR]2,[O-]C(=O)C(=O)[O-].[O][U][O],FSR,0,1
2017[Cd][pts]3[FSR]2,[Cd].[O-]C(=O)c1cc(NC2=NN=N[N]2)cc(c1)C(=O)[O-],FSR,0,1
2019[Co][sql]2[FSR]7,[O-]C(=O)c1cc(cc(c1)C(=O)O)Cn1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)O.[OH2][Co][OH2],FSR,0,1
2012[Zn][nan]3[FSR]2,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn]O[Zn],FSR,0,1
2016[Zn][pcu]3[FSR]11,CN(C(=S)Oc1cc(ccc1c1ccc(cc1)C(=O)[O-])C(=O)[O-])C.[Zn][O]([Zn])([Zn])[Zn],FSR,0,1
2015[Zn][flu]3[FSR]1,COc1c(c2c(OC)c(cc(c2OC)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])c(OC)c(cc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn],FSR,0,1
2005[Tb][nan]3[FSR]1,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O][Tb],FSR,0,1
2007[Zn][ths]3[FSR]1,I[Zn]I.n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1,FSR,0,1
2019[Zn][cds]3[FSR]1,[Zn].c1cc(cc(c1)n1cncc1)n1cncc1,FSR,1,3
2015[Cu][rtl]3[FSR]4,O=C(c1ccncc1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu][Cu],FSR,0,1
2020[Ni][dia]3[FSR]1,[Ni].[O-]C(=O)c1ccc(cc1c1cc(ccc1C(=O)[O-])C(=O)[O-])C(=O)[O-],FSR,1,2
2012[Mn][pcu]3[FSR]3,[Mn].[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-],FSR,0,1
2021[Cd][sql]2[FSR]5,Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd],FSR,0,1
2017[Ho][bnn]3[FSR]1,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O][Ho],FSR,0,1
2012[Mn][pcu]3[FSR]2,[Mn].[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-],FSR,0,1
2023[Cd][dia]3[FSR]5,[Cd].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],FSR,1,2
2013[PrSi][flu]3[FSR]1,[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O][Pr],FSR,1,2
2021[La][fsc]3[FSR]1,[OH2][La].[O]P(=O)(C[NH]1CCC(CC1)C1CC[NH](CC1)CP(=O)([O])[O])[O],FSR,1,3
2016[Co][pts]3[FSR]5,Fc1cc([C]2C=NN=C2)c(cc1[C]1C=NN=C1)F.[Co],FSR,0,1
2004[Cu][asf]3[FSR]1,C1Cc2nnc3c4c2c(C1)nnc4CCC3.[Cu]Br,FSR,0,1
2017[Zn][nan]3[FSR]3,[O-]C(=O)c1ccc(cc1)C[NH](Cc1ccc(cc1)C(=O)[O-])CCCN(Cc1ccc(cc1)C(=O)[O-])Cc1ccc(cc1)C(=O)[O-].[OH2][Zn],FSR,1,3
2017[Zn][dia]3[FSR]6,[O-]C(=O)c1cc(cc(c1)c1ccc(cc1C(=O)[O-])C(=O)[O-])c1ccc(cc1C(=O)[O-])C(=O)[O-].[Zn][OH]([Zn]([OH2])([OH2])[OH2])[Zn],FSR,1,2
2016[Tb][nan]3[FSR]2,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH2][Tb][OH2],FSR,1,2
2015[Th][fcu]3[FSR]1,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O][Th]123[O]4[Th]56([O]3[Th]37([O]2[Th]28([O]1[Th]14([O]6[Th]([O]53)([O]21)([O]78)[O])[O])[O])[O])[O],FSR,0,1
2019[Eu][sql]2[FSR]4,[O-]C(=O)CCC(C(=O)[O-])C.[OH2][Eu][OH2],FSR,0,1
2016[Mg][hcb]2[FSR]1,[Mg].[O-]C(=O)C(=O)[O-],FSR,0,1
2013[Eu][nan]3[FSR]1,[O-]C(=O)CCc1cc(I)c(c(c1)I)OCC(=O)[O-].[OH2][Eu][OH2],FSR,1,3
2018[Zn][hxl]2[FSR]2,[O-]C(=O)CCn1c2cc3c(cc2c2c1cccc2)n(c1c3cccc1)CCC(=O)[O-].[Zn],FSR,0,1
2015[Er][tcs]3[FSR]1,[O-]C(=O)C=CC(=O)[O-].[O][Er][O],FSR,0,1
2020[Zn][dia]3[FSR]8,[O-]C(=O)c1cc(cc(c1)N(=O)=O)C(=O)[O-].[Zn],FSR,0,1
2011[Er][bnn]3[FSR]1,[O-]C(=O)c1ccc(cc1)Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[O][Er][O],FSR,0,1
2010[Er][mog]3[FSR]2,[Er].[O-]C(=O)c1ccc(cc1)C(=O)[O-],FSR,0,1
2023[Zn][nan]3[FSR]24,[O-]C(=O)c1cc(nc(c1)c1nccc(c1)C(=O)[O-])c1nccc(c1)C(=O)[O-].[Zn],FSR,0,1
2021[Ni][nan]3[FSR]3,[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-].[OH2][Ni],FSR,1,2
2018[NiCo][scu]3[FSR]2,[Co].[O]P(=O)(c1ccc(cc1)C1=C2C=CC3=[N]2[Ni]24n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2ccc(cc2)P(=O)([O])[O])cc1)c1ccc(cc1)P(=O)([O])[O])c1ccc(cc1)P(=O)([O])[O])[O],FSR,1,2
2011[Ho][nan]3[FSR]1,[O-]C(=O)CCC(=O)[O-].[O][Ho],FSR,0,1
2016[Dy][nan]3[FSR]3,N#Cc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Dy],FSR,0,1
2018[Co][ant]3[FSR]1,O=[C]1=[N]=C([N]C(=N1)n1ccnc1)n1ccnc1.[Co],FSR,0,1
2015[Co][rtl]3[FSR]1,[Co][Co].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cncnc1,FSR,0,1
2012[Co][pcu]3[FSR]3,[Co].[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-],FSR,0,1
0000[Fe][pcu]3[FSR]1,[Fe].n1cnn(c1)CCn1ncnc1,FSR,0,1
2017[Eu][nan]3[FSR]6,[O-]C(=O)c1ccc(cc1c1cccc(n1)c1cc(ccc1C(=O)[O-])C(=O)[O-])C(=O)[O-].[O][Eu],FSR,0,1
2014[Zn][rtl]3[FSR]1,[O-]C(=O)c1cc(cc(c1)c1ccncc1)C(=O)[O-].[Zn][Zn],FSR,0,1
2021[Dy][nan]3[FSR]4,[O-]C(=O)c1cc(ccc1c1cncc(c1)C(=O)[O-])C(=O)[O-].[O][Dy][O],FSR,0,1
2021[Tb][nan]3[FSR]4,[O-]C(=O)COc1cc(OCC(=O)[O-])cc(c1)OCC(=O)[O-].[OH2][Tb][OH2],FSR,1,2
2005[Pr][nan]3[FSR]3,[O-]C(=O)CCCC(=O)[O-].[O][Pr][O],FSR,0,1
2013[Mn][lvt]3[FSR]1,[OH2][Mn].c1ccc(nc1)C1=[N]=C(N=N1)C1=[N]=CN=N1,FSR,0,1
2021[Eu][ant]3[FSR]1,[Eu].[O-]C(=O)c1cc(cc(c1)n1ncnc1)N1[N]C=N[CH]1,FSR,0,1
2009[Gd][nan]3[FSR]1,[O-]C(=O)CCn1c(=O)n(CCC(=O)[O-])c(=O)n(c1=O)CCC(=O)[O-].[O]OO[Gd],FSR,1,2
2018[Zn][nan]3[FSR]5,[O-]C(=O)c1cc(cc(c1)C(C)(C)C)C(=O)[O-].[Zn],FSR,0,1
2020[Cu][sql]2[FSR]10,O=C1NCc2ccc(cc2)CNC(=O)c2cc(cc(c2)C(=O)NCc2ccc(CNC(=O)c3cc1cc(c3)C(=O)[O-])cc2)C(=O)[O-].[OH2][Cu][Cu][OH2],FSR,0,1
2017[ZnEu][pcu]3[FSR]1,[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-].[OH2][Eu]12[OH]3[Eu]4([OH]2[Zn]256([OH]1[Eu]3([OH]42)[OH2])[OH]1[Eu]2([OH]6[Eu]3([OH]5[Eu]1([OH]23)[OH2])[OH2])[OH2])[OH2],FSR,1,2
2013[Nd][kgd]2[FSR]1,[O-]C(=O)COc1ccc(cc1)N(CC(=O)[O-])CC(=O)[O-].[OH2][Nd][OH2],FSR,1,2
2020[Cd][fes]2[FSR]2,[O-]C(=O)c1ccc(cc1)C(n1cncn1)c1ccc(cc1)C(=O)[O-].[OH2][Cd][OH2],FSR,0,1
2013[Zn][ths]3[FSR]10,I[Zn]I.n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1,FSR,0,1
2021[U][pcu]3[FSR]3,Cc1[n-]n(c(c1)C)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[O][U]1([O])O[U]23([O]1[U]([O]2[U]1([O]3[U]2([O]1[U]13([O]2[U]([O]3[U](O1)([O])[O])([O])[O])([O])[O])([O])[O])([O])[O])([O])[O])([O])[O],FSR,1,3
2016[Ho][nan]3[FSR]2,[O-]C(=O)c1cc(cc(c1)c1ccc2c(c1)ccc(c2)C(=O)[O-])C(=O)[O-].[OH2][Ho][OH2],FSR,1,2
2020[Cd][dia]3[FSR]3,CCc1nccn1c1ccc(cc1)C(=O)[O-].[Cd],FSR,0,1
2014[Cu][dia]3[FSR]8,N1=C[N]N([CH]1)c1c2ccccc2c(c2c1cccc2)n1ncnc1.[OH2][Cu][OH2],FSR,0,1
2023[ThCo][sql]2[FSR]1,[O-]C(=O)c1ccc(cc1)C1=C2C=CC3=[N]2[Co]24n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2ccc(cc2)C(=O)[O-])cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[OH2][Th][OH2],FSR,0,1
2013[Co][xmz]3[FSR]1,[Co][OH2]([Co])[Co].[O-]C(=O)c1ccc(cc1)c1cncc(c1)c1ccc(cc1)C(=O)[O-],FSR,0,1
2011[Mn][pcu]3[FSR]1,[Mn]O[Mn].[O-]C(=O)c1cc(c2cc(cc(c2)C(=O)[O-])C(=O)[O-])c(cc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-],FSR,0,1
2023[Tb][nan]3[FSR]2,OC(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-].[OH2][Tb],FSR,0,1
2021[Tb][nan]3[FSR]1,[O-]C(=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-].[OH2][Tb][Tb][OH2],FSR,0,0
2015[Zn][sql]2[FSR]1,[O-]C(=O)c1ccc2c(c1)[nH]c(n2)c1cccnc1.[Zn],FSR,1,2
2019[Dy][pcu]3[FSR]1,[Dy].[O-][n+]1ccc(cc1)C(=O)[O-],FSR,1,2
2012[Tb][pcu]3[FSR]1,[O-][n+]1ccc(cc1)C(=O)[O-].[Tb],FSR,0,1
2013[Ni][nan]3[FSR]3,[Ni][OH]1[Ni][OH]([Ni]1)[Ni].[O-]C(=O)c1ccncc1,FSR,0,1
2024[Ni][fes]2[FSR]2,[O-]C(=O)c1ccc(cc1)n1ccnc1c1nccn1c1ccc(cc1)C(=O)[O-].[OH2][Ni],FSR,0,1
2002[Ce][nan]3[FSR]1,[O-]C(=O)CCCCC(=O)[O-].[OH2][Ce][OH2],FSR,0,1
2014[Dy][nan]3[FSR]1,[Dy].[O-]C(=O)c1ccc(cc1O)c1ccc(c(c1)[O])C(=O)[O-],FSR,0,1
2021[Nd][kgd]2[FSR]1,[O-]C(=O)c1cc(ccc1C(=O)[O-])Oc1c(cccc1C(=O)[O-])C(=O)[O-].[OH2][Nd][OH2],FSR,1,2
2012[Cd][etb]3[FSR]1,[Cd].[O-]C(=O)c1nccc(c1)c1ccnc(c1)C(=O)[O-],FSR,1,2
2015[Fe][pts]3[FSR]4,N1=C[C](C=N1)c1ccc(cc1)C1=C[N]N=C1.[Fe],FSR,0,1
2019[Cu][sql]2[FSR]10,[O-]C(=O)c1ccc(cc1)COc1c2c(c(c3c1C1c4c(C3c3c1cccc3)cccc4)OCc1ccc(cc1)C(=O)[O-])C1c3c(C2c2c1cccc2)cccc3.[OH2][Cu][Cu],FSR,1,2
2024[Zn][sql]2[FSR]1,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn][Zn],FSR,0,1
2010[Mn][ths]3[FSR]1,[O-]C(=O)c1[nH]c(nc1C(=O)[O-])c1ccncc1.[OH2][Mn],FSR,1,2
2013[Co][lvt]3[FSR]1,NC1=C2N=CN=C2[N]C=N1.[Co][Co],FSR,0,1
2020[Zn][nan]3[FSR]65,[O-]C(=O)c1ccc(cc1)c1cc2c3c(c1)C(C)(C)c1c4N3c3c(C2(C)C)cc(cc3C(c4cc(c1)c1ccc(cc1)C(=O)[O-])(C)C)c1ccc(cc1)C(=O)[O-].[Zn][OH]1[Zn][OH]([Zn]1)[Zn],FSR,0,1
2021[Cu][dia]3[FSR]2,CC1=NN=C([C]1[C]1C(=NN=C1C)C)C.Cl[Cu],FSR,0,1
2015[La][sra]3[FSR]1,O=C1C[N]23[La]45(O1)(OC(=O)C3)OC(=O)C[N]5(CC2)CC(=O)O4.[OH2][La]([OH2])([OH2])([OH2])[OH2],FSR,1,2
2017[FeCo][ant]3[FSR]1,[O-]C(=O)c1ccc(nc1)c1ccc(cn1)C(=O)[O-].[OH2][Fe]O[Co]O[Fe][OH2],FSR,1,2
2020[Ni][dia]3[FSR]3,Nc1nccc(c1)C(=O)[O-].[Ni],FSR,0,1
2016[Th][gfy]3[FSR]1,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[O][Th][O]([Th][O])[Th][O],FSR,1,2
2020[Nd][nan]3[FSR]4,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[O][Nd],FSR,0,1
2018[U][lvt]3[FSR]1,[O-]C(=O)CNC1=N[C](=[N]=C([N]1)NCC(=O)[O-])=O.[O][U][O],FSR,0,1
2012[Tb][nan]3[FSR]5,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O][Tb],FSR,0,1
2015[Zn][lon]3[FSR]3,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1cc(nc(c1)c1ccncc1)c1ccncc1.[Zn],FSR,0,1
2017[Nd][nan]3[FSR]1,[O-]C(=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-].[O][Nd],FSR,0,1
2007[Gd][bnn]3[FSR]1,O[C](c1ccc(cc1)C1=c2ccc(=C(C3=[NH]C(=C(c4[nH]c(C(=C5[NH]=C1C=C5)c1ccc(cc1)C(=O)[O-])cc4)c1ccc(cc1)C(=O)[O-])C=C3)c1ccc(cc1)C(=O)[O-])[nH]2)O.[OH2][Gd][OH2],FSR,0,1
2014[Cu][dia]3[FSR]9,[Cu][O]([Cu])([Cu])[Cu].[O-]C(=O)CN1[CH]C=C(C=C1)c1ccncc1,FSR,0,1
2010[Cd][pcu]3[FSR]1,[Cd].c1ncn(c1)c1ccc(cc1)n1cncc1,FSR,0,1
2021[Zn][dia]3[FSR]6,[O-]C(=O)c1cc(cc(c1)Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn][OH]([Zn]([OH2])([OH2])[OH2])[Zn],FSR,1,2
2010[Co][flu]3[FSR]1,[Co].[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)O)(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-],FSR,1,2
2013[Cd][pcu]3[FSR]5,[Cd].[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-],FSR,0,1
2017[Zn][ths]3[FSR]3,I[Zn]I.n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1,FSR,0,1
2014[Co][flu]3[FSR]1,[Co][OH]1[Co]([OH2])[OH]([Co]1[OH2])[Co].[O-]C(=O)c1ccc(cc1)COc1cc(cc(c1)C(=O)[O-])C(=O)[O-],FSR,0,1
2024[La][nan]3[FSR]2,[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[OH2][La][OH2],FSR,1,2
2015[Zn][sqc]3[FSR]1,[O-]C(=O)c1ccc(cc1)CN(Cc1ccc(cc1)C(=O)[O-])CCN(Cc1ccc(cc1)C(=O)[O-])Cc1ccc(cc1)C(=O)[O-].[Zn],FSR,0,1
2017[Er][hcb]2[FSR]1,Br[C]1C(=O)C(=O)[C](C(=O)C1=O)Br.[O][Er](O)[OH2],FSR,1,2
2016[Zn][ths]3[FSR]1,I[Zn]I.n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1,FSR,0,1
2015[Zn][sql]2[FSR]2,[O-]C(=O)c1ccc2c(c1)[nH]c(n2)c1cccnc1.[Zn],FSR,1,2
2018[Sm][rtl]3[FSR]1,[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)[O-].[OH2][Sm],FSR,0,1
2010[Co][nan]3[FSR]1,[Co].[O-]C(=O)c1cc(Cc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],FSR,0,1
2017[Cu][rtl]3[FSR]1,Cc1ncn(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu][Cu],FSR,0,1
2024[Eu][nan]3[FSR]4,[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[OH2][Eu][OH2],FSR,0,1
2019[Cd][rtl]3[FSR]1,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH2][Cd],FSR,1,2
2019[Dy][sql]2[FSR]3,[O-]C(=O)CCC(C(=O)[O-])C.[OH2][Dy][OH2],FSR,1,2
2023[Yb][nan]3[FSR]1,CC1CC(C)Oc2c(-c3c(O1)cc(cn3)C(=O)[O-])ncc(c2)C(=O)[O-].[Yb],FSR,0,1
2008[Co][sql]2[FSR]1,[Co][Co].[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-],FSR,0,1
2017[Cd][kgd]2[FSR]2,[O-]C(=O)C1=CC=CN([CH]1)Cc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH2][Cd],FSR,0,1
2015[Co][flu]3[FSR]1,COc1c(c2c(OC)c(cc(c2OC)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])c(OC)c(cc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Co],FSR,0,1
2016[Ni][nbo]3[FSR]1,[Ni].n1ccc(cc1)C1=NN=C([N]1)c1ccccn1,FSR,0,1
2020[Gd][sqc]3[FSR]1,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1[CH]C=C(C=C1)C1=C[CH]N(C=C1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH2][Gd],FSR,1,3
2018[Cu][kgd]2[FSR]1,[Cu].[O-]C(=O)CCn1c(=O)n(CCC(=O)[O-])c(=O)n(c1=O)CCC(=O)[O-],FSR,1,2
2024[Ni][sql]2[FSR]6,[O-]C(=O)c1ccc2c(c1)c[n-][nH]2.[OH2][Ni][OH2],FSR,0,1
2013[Ho][dia]3[FSR]1,[O-]C(=O)C(=O)[O-].[OH3][Ho],FSR,1,3
2021[U][ths]3[FSR]2,Fc1c(c2ccc(cc2)C(=O)[O-])c(F)c(c(c1c1ccc(cc1)C(=O)[O-])F)c1ccc(cc1)C(=O)[O-].[O][U][O],FSR,0,1
2020[Zn][qtz]3[FSR]1,[O-]C(=O)c1ccncc1N.[Zn],FSR,0,1
2007[Ni][dia]3[FSR]1,[O-]C(=O)c1cc(cc(c1)C(=O)O)C(=O)[O-].[OH2][Ni][OH2],FSR,0,1
2020[Cu][sql]2[FSR]12,[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-].[OH2][Cu][Cu][OH2],FSR,0,1
2015[Cu][pcu]3[FSR]2,[Cu][OH]1[Cu](Cl)[OH]([Cu]1Cl)[Cu].[O-]C(=O)CN1[CH]C=C(C=C1)C(=O)[O-],FSR,1,3
2013[CdSi][pcu]3[FSR]2,Cc1[nH][n-]c(c1c1c(C)[n-][nH]c1C)C.[Cd],FSR,1,2
2019[Zn][sql]2[FSR]10,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn][Zn],FSR,0,1
2012[CeSi][flu]3[FSR]1,[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)O)(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O][Ce],FSR,1,2
2015[Cu][lvt]3[FSR]1,[O-]C(=O)C=Cc1cc(C=CC(=O)[O-])c(cc1C=CC(=O)[O-])C=CC(=O)[O-].[OH2][Cu][Cu][OH2],FSR,1,2
2021[Eu][nan]3[FSR]3,[O-]C(=O)COc1cc(OCC(=O)[O-])cc(c1)OCC(=O)[O-].[OH2][Eu][OH2],FSR,1,2
2021[Sm][fcu]3[FSR]1,[O-]C(=O)c1c([O])c([O])c(c(c1[O])[O])C(=O)[O-].[O][Sm]123[O]4[Sm]56([O]3[Sm]37([O]2[Sm]28([O]1[Sm]14([O]6[Sm]([O]53)([O]21)([O]78)[O])[O])[O])[O])[O],FSR,0,1
2006[La][sqc]3[FSR]1,[O-]C(=O)CCCCC(=O)[O-].[OH2][La][OH2],FSR,1,2
2016[Mn][pcu]3[FSR]1,Oc1cccc(c1)C1=N[C](C(=N1)C(=O)[O-])C(=O)[O-].[OH2][Mn][OH2],FSR,1,2
2012[Cu][apo]3[FSR]1,[Cu][Cu].[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)[O-],FSR,0,1
1996[Ti][qtz]3[ION]1,[O-]C(=O)C(=O)[O-].[Ti],ION,1,3
2008[Zn][gis]3[ION]1,[O-]C(=O)c1ccc(cc1)P(=O)([O])[O].[Zn],ION,1,2
2022[Cu][nan]3[ION]1,[Cu][Cu].[O-]C(=O)c1ccc(cc1)N1CCN([CH]1)c1ccc(cc1)C(=O)[O-],ION,0,1
2017[Co][nan]3[ION]1,[Co][OH]1[Co][OH]([Co]1)[Co].[O-]C(=O)c1ccc2c(c1)c1cc(ccc1n2CCCn1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])C(=O)[O-],ION,1,2
2022[CuSi][ith]3[ION]1,[Cu].n1ccc(cc1)N(c1ccncc1)c1ccncc1,ION,1,2
2017[Yb][sqc]3[ION]1,[O-]C(=O)C1=C[CH]N(C=C1)Cc1c(C)c(CN2[CH]C=C(C=C2)C(=O)[O-])c(c(c1C)CN1[CH]C=C(C=C1)C(=O)[O-])C.[OH2][Yb][OH2],ION,1,3
2015[Ag][nbo]3[ION]2,[Ag].n1ccnc(c1)Cc1nccnc1,ION,1,2
